session_id,station_id,city,charger_type,operator,start_time,end_time,duration_hrs,energy_kwh,vehicle_type,day_of_week,hour,is_weekend,wait_time_mins,revenue_inr,user_segment
SES000745,STA041,Pune,AC Type 2 (7.4 kW),Statiq,2025-03-05 08:57:00,2025-03-05 09:51:36,0.91,6.2,Kia EV6,Wednesday,8,False,21.0,72.17,Intercity Traveller
SES000746,STA012,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-02-10 19:19:00,2025-02-10 21:55:00,2.6,18.3,BMW iX,Monday,19,False,15.1,252.91,Daily Commuter
SES000747,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-01-13 18:03:00,2025-01-13 19:06:00,1.05,20.33,Ola S1 Pro,Monday,18,False,20.0,295.39,Intercity Traveller
SES000748,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-03-22 07:47:00,2025-03-22 08:13:24,0.44,19.23,Tata Tigor EV,Saturday,7,True,6.5,381.52,Daily Commuter
SES000749,STA017,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-13 22:16:00,2025-03-13 23:39:24,1.39,8.06,Mahindra XUV400,Thursday,22,False,8.4,113.97,Daily Commuter
SES000750,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-28 22:12:00,2025-03-29 00:37:48,2.43,14.91,Kia EV6,Friday,22,False,11.8,189.8,Daily Commuter
SES000751,STA024,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-02-06 12:43:00,2025-02-06 13:13:00,0.5,9.66,BYD Atto 3,Thursday,12,False,14.4,142.97,Weekend User
SES000752,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-02-18 17:29:00,2025-02-18 17:56:00,0.45,50.69,Hyundai Kona Electric,Tuesday,17,False,13.8,1112.14,Weekend User
SES000753,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-23 19:21:00,2025-03-23 20:39:36,1.31,9.07,BMW iX,Sunday,19,True,16.7,116.55,Intercity Traveller
SES000754,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-01-10 07:21:00,2025-01-10 08:12:36,0.86,15.47,Tata Tigor EV,Friday,7,False,7.5,224.78,Fleet Driver
SES000755,STA013,Bengaluru,DC CHAdeMO (50 kW),ChargeZone,2025-02-04 17:25:00,2025-02-04 18:05:48,0.68,28.16,BYD Atto 3,Tuesday,17,False,14.3,567.99,Fleet Driver
SES000756,STA048,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-02-16 18:33:00,2025-02-16 18:52:48,0.33,48.39,Mahindra XUV400,Sunday,18,True,19.0,1045.22,Daily Commuter
SES000757,STA031,Mumbai,AC Type 2 (7.4 kW),ChargeZone,2025-01-03 08:15:00,2025-01-03 09:51:00,1.6,11.73,MG ZS EV,Friday,8,False,18.3,146.86,Daily Commuter
SES000758,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-20 08:04:00,2025-02-20 09:55:36,1.86,11.66,BYD Atto 3,Thursday,8,False,14.1,150.65,Intercity Traveller
SES000759,STA037,Pune,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-04 19:33:00,2025-01-04 21:43:12,2.17,14.87,MG ZS EV,Saturday,19,True,24.8,172.19,Daily Commuter
SES000760,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-21 08:41:00,2025-03-21 11:36:12,2.92,20.32,Mahindra XUV400,Friday,8,False,23.2,252.17,Daily Commuter
SES000761,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-02-01 18:28:00,2025-02-01 18:57:24,0.49,68.03,Hyundai Kona Electric,Saturday,18,True,14.9,1492.58,Intercity Traveller
SES000762,STA017,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-22 03:42:00,2025-01-22 06:12:36,2.51,16.92,Tata Tigor EV,Wednesday,3,False,0.0,239.25,Weekend User
SES000763,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-01 22:34:00,2025-03-01 23:25:36,0.86,5.35,Kia EV6,Saturday,22,True,11.0,66.39,Daily Commuter
SES000764,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-03-31 16:37:00,2025-03-31 17:32:48,0.93,17.69,BMW iX,Monday,16,False,14.0,232.27,Daily Commuter
SES000765,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-23 16:19:00,2025-03-23 17:32:12,1.22,7.6,BYD Atto 3,Sunday,16,True,8.5,97.96,Intercity Traveller
SES000766,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-12 13:23:00,2025-01-12 15:51:48,2.48,15.67,Hyundai Kona Electric,Sunday,13,True,12.3,201.36,Daily Commuter
SES000767,STA041,Pune,AC Type 2 (7.4 kW),Statiq,2025-01-01 15:48:00,2025-01-01 18:24:00,2.6,18.52,Tata Tigor EV,Wednesday,15,False,13.1,215.57,Daily Commuter
SES000768,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-03-10 00:59:00,2025-03-10 02:47:36,1.81,12.99,BYD Atto 3,Monday,0,False,0.0,160.43,Daily Commuter
SES000769,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-02-25 20:38:00,2025-02-25 21:21:12,0.72,14.56,Tata Nexon EV,Tuesday,20,False,11.2,211.56,Intercity Traveller
SES000770,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-01-25 13:35:00,2025-01-25 14:38:36,1.06,7.16,Ather 450X,Saturday,13,True,17.1,99.24,Daily Commuter
SES000771,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-03-24 12:24:00,2025-03-24 13:38:24,1.24,22.61,MG ZS EV,Monday,12,False,10.1,328.52,Daily Commuter
SES000772,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-01-31 15:51:00,2025-01-31 18:12:00,2.35,13.91,Ola S1 Pro,Friday,15,False,18.2,179.3,Daily Commuter
SES000773,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-10 20:26:00,2025-03-10 23:11:00,2.75,16.72,MG ZS EV,Monday,20,False,16.3,210.67,Daily Commuter
SES000774,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-02-07 08:29:00,2025-02-07 09:05:36,0.61,11.8,Ola S1 Pro,Friday,8,False,16.2,170.63,Fleet Driver
SES000775,STA008,Bengaluru,DC CCS2 (50 kW),Ather Grid,2025-03-04 09:01:00,2025-03-04 09:27:24,0.44,21.1,Kia EV6,Tuesday,9,False,12.9,412.08,Daily Commuter
SES000776,STA034,Mumbai,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-01-14 11:08:00,2025-01-14 12:59:36,1.86,11.71,Tata Nexon EV,Tuesday,11,False,7.0,143.68,Daily Commuter
SES000777,STA017,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-20 01:13:00,2025-01-20 03:09:24,1.94,12.9,Ola S1 Pro,Monday,1,False,1.9,182.41,Fleet Driver
SES000778,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-03-05 23:29:00,2025-03-06 02:24:12,2.92,19.01,Tata Nexon EV,Wednesday,23,False,4.7,210.06,Daily Commuter
SES000779,STA019,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-19 05:49:00,2025-01-19 08:05:12,2.27,13.91,Kia EV6,Sunday,5,True,6.0,172.21,Intercity Traveller
SES000780,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-01-25 20:16:00,2025-01-25 21:17:12,1.02,22.31,Tata Nexon EV,Saturday,20,True,22.6,314.12,Daily Commuter
SES000781,STA012,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-02-01 12:28:00,2025-02-01 13:29:48,1.03,5.75,Tata Nexon EV,Saturday,12,True,19.4,79.47,Daily Commuter
SES000782,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-01-13 15:13:00,2025-01-13 15:27:24,0.24,29.39,Ola S1 Pro,Monday,15,False,13.0,713.88,Weekend User
SES000783,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-01-21 17:02:00,2025-01-21 17:22:24,0.34,14.0,Kia EV6,Tuesday,17,False,13.5,259.14,Intercity Traveller
SES000784,STA010,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-02 14:19:00,2025-02-02 15:50:48,1.53,9.54,Tata Nexon EV,Sunday,14,True,18.7,117.25,Weekend User
SES000785,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-01-28 22:15:00,2025-01-28 22:27:00,0.2,24.75,Tata Tigor EV,Tuesday,22,False,11.8,543.01,Daily Commuter
SES000786,STA038,Pune,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-05 17:25:00,2025-02-05 20:04:36,2.66,14.88,Tata Nexon EV,Wednesday,17,False,13.3,187.79,Weekend User
SES000787,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-03-16 19:30:00,2025-03-16 22:16:12,2.77,19.39,Hyundai Kona Electric,Sunday,19,True,18.9,214.26,Daily Commuter
SES000788,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-01-12 10:31:00,2025-01-12 12:10:00,1.65,10.08,BMW iX,Sunday,10,True,18.4,126.6,Daily Commuter
SES000789,STA031,Mumbai,AC Type 2 (7.4 kW),ChargeZone,2025-03-22 05:22:00,2025-03-22 06:16:00,0.9,5.38,Kia EV6,Saturday,5,True,1.9,67.36,Fleet Driver
SES000790,STA049,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-01-17 14:20:00,2025-01-17 14:45:12,0.42,54.71,Tata Tigor EV,Friday,14,False,2.8,1215.66,Fleet Driver
SES000791,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-02-26 19:01:00,2025-02-26 19:53:48,0.88,6.44,Tata Tigor EV,Wednesday,19,False,20.1,71.16,Fleet Driver
SES000792,STA034,Mumbai,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-02-02 20:31:00,2025-02-02 23:26:12,2.92,16.61,Kia EV6,Sunday,20,True,20.2,203.8,Daily Commuter
SES000793,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-31 15:36:00,2025-03-31 17:10:12,1.57,9.37,Tata Tigor EV,Monday,15,False,8.1,118.06,Daily Commuter
SES000794,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-03-01 11:53:00,2025-03-01 13:00:12,1.12,23.29,Kia EV6,Saturday,11,True,10.4,305.8,Daily Commuter
SES000795,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-03-09 09:18:00,2025-03-09 10:22:48,1.08,18.69,Kia EV6,Sunday,9,True,16.5,263.16,Daily Commuter
SES000796,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-01-01 19:32:00,2025-01-01 20:25:24,0.89,17.98,Hyundai Kona Electric,Wednesday,19,False,25.7,291.1,Weekend User
SES000797,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-03-21 20:49:00,2025-03-21 21:34:36,0.76,13.98,Tata Tigor EV,Friday,20,False,17.8,202.15,Fleet Driver
SES000798,STA019,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-26 22:52:00,2025-03-27 00:40:36,1.81,13.03,Kia EV6,Wednesday,22,False,13.3,161.31,Fleet Driver
SES000799,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-03-12 08:18:00,2025-03-12 08:55:48,0.63,24.11,Tata Tigor EV,Wednesday,8,False,12.8,478.34,Daily Commuter
SES000800,STA041,Pune,AC Type 2 (7.4 kW),Statiq,2025-03-08 17:02:00,2025-03-08 18:05:00,1.05,7.69,Hyundai Kona Electric,Saturday,17,True,23.4,89.51,Daily Commuter
SES000801,STA010,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-05 09:31:00,2025-01-05 11:27:24,1.94,11.64,Tata Nexon EV,Sunday,9,True,24.1,143.06,Intercity Traveller
SES000802,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-02-19 18:33:00,2025-02-19 19:07:48,0.58,10.45,BMW iX,Wednesday,18,False,18.0,151.11,Daily Commuter
SES000803,STA004,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-02-16 10:45:00,2025-02-16 13:19:12,2.57,16.45,Ather 450X,Sunday,10,True,0.0,232.6,Fleet Driver
SES000804,STA003,Bengaluru,AC Type 2 (7.4 kW),Bolt.Earth,2025-01-11 14:40:00,2025-01-11 15:31:00,0.85,4.98,Kia EV6,Saturday,14,True,18.7,66.73,Fleet Driver
SES000805,STA034,Mumbai,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-02-23 19:50:00,2025-02-23 21:35:00,1.75,10.39,BMW iX,Sunday,19,True,17.9,127.49,Daily Commuter
SES000806,STA015,Delhi,DC CCS2 (50 kW),Statiq,2025-01-06 19:53:00,2025-01-06 20:36:48,0.73,29.17,Ather 450X,Monday,19,False,22.9,563.56,Weekend User
SES000807,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-01-13 07:14:00,2025-01-13 08:41:00,1.45,31.86,Ather 450X,Monday,7,False,1.0,503.71,Daily Commuter
SES000808,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-26 10:40:00,2025-03-26 12:23:48,1.73,11.5,Kia EV6,Wednesday,10,False,13.3,148.58,Fleet Driver
SES000809,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-02-23 18:49:00,2025-02-23 19:02:12,0.22,29.88,Tata Tigor EV,Sunday,18,True,20.1,655.57,Fleet Driver
SES000810,STA005,Bengaluru,AC Type 2 (7.4 kW),Zeon Charging,2025-03-31 18:56:00,2025-03-31 21:23:00,2.45,14.33,Hyundai Kona Electric,Monday,18,False,18.1,179.98,Intercity Traveller
SES000811,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-03-06 12:10:00,2025-03-06 13:08:48,0.98,20.04,BMW iX,Thursday,12,False,19.6,316.83,Daily Commuter
SES000812,STA050,Hyderabad,DC CCS2 (50 kW),BPCL EV Station,2025-02-15 21:35:00,2025-02-15 22:11:36,0.61,24.12,Tata Tigor EV,Saturday,21,True,9.5,423.55,Fleet Driver
SES000813,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-02-22 18:27:00,2025-02-22 19:31:12,1.07,22.2,Tata Tigor EV,Saturday,18,True,16.4,312.58,Fleet Driver
SES000814,STA037,Pune,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-14 16:24:00,2025-03-14 17:10:12,0.77,4.78,Ola S1 Pro,Friday,16,False,11.0,55.35,Daily Commuter
SES000815,STA001,Bengaluru,DC CCS2 (50 kW),NTPC Vidyut,2025-02-27 14:25:00,2025-02-27 15:08:12,0.72,29.06,Tata Nexon EV,Thursday,14,False,4.7,588.76,Weekend User
SES000816,STA050,Hyderabad,DC CCS2 (50 kW),BPCL EV Station,2025-03-18 01:08:00,2025-03-18 01:36:12,0.47,22.61,Ola S1 Pro,Tuesday,1,False,5.0,397.03,Daily Commuter
SES000817,STA002,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-01-29 09:20:00,2025-01-29 11:43:24,2.39,13.69,Ola S1 Pro,Wednesday,9,False,11.8,171.26,Weekend User
SES000818,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-07 16:59:00,2025-03-07 18:48:48,1.83,12.4,MG ZS EV,Friday,16,False,10.7,157.85,Daily Commuter
SES000819,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-02-15 09:16:00,2025-02-15 09:53:12,0.62,11.22,BMW iX,Saturday,9,True,17.7,181.65,Daily Commuter
SES000820,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-02-02 19:05:00,2025-02-02 22:03:48,2.98,16.79,BMW iX,Sunday,19,True,19.1,213.74,Weekend User
SES000821,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-01-10 19:50:00,2025-01-10 22:17:36,2.46,15.34,BYD Atto 3,Friday,19,False,27.1,189.45,Fleet Driver
SES000822,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-30 17:52:00,2025-03-30 20:41:12,2.82,20.61,BMW iX,Sunday,17,True,10.0,265.66,Fleet Driver
SES000823,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-01-05 18:36:00,2025-01-05 19:40:48,1.08,19.94,Tata Nexon EV,Sunday,18,True,14.6,322.83,Weekend User
SES000824,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-02-12 12:52:00,2025-02-12 14:53:12,2.02,12.55,MG ZS EV,Wednesday,12,False,20.0,173.94,Weekend User
SES000825,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-01-30 19:54:00,2025-01-30 21:03:36,1.16,20.67,Tata Nexon EV,Thursday,19,False,20.1,271.4,Fleet Driver
SES000826,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-03-22 12:19:00,2025-03-22 13:02:12,0.72,12.03,Tata Tigor EV,Saturday,12,True,11.2,190.19,Intercity Traveller
SES000827,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-01-20 12:44:00,2025-01-20 13:16:24,0.54,9.43,Tata Nexon EV,Monday,12,False,14.0,137.02,Fleet Driver
SES000828,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-02-20 22:48:00,2025-02-21 00:15:00,1.45,28.56,Kia EV6,Thursday,22,False,14.4,374.99,Daily Commuter
SES000829,STA008,Bengaluru,DC CCS2 (50 kW),Ather Grid,2025-02-25 11:25:00,2025-02-25 11:55:36,0.51,22.82,Tata Tigor EV,Tuesday,11,False,20.1,445.67,Daily Commuter
SES000830,STA019,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-15 18:35:00,2025-03-15 19:58:24,1.39,8.62,MG ZS EV,Saturday,18,True,18.5,106.72,Daily Commuter
SES000831,STA036,Mumbai,DC CHAdeMO (50 kW),Ather Grid,2025-02-25 19:08:00,2025-02-25 19:50:36,0.71,35.02,BYD Atto 3,Tuesday,19,False,19.1,648.22,Intercity Traveller
SES000832,STA010,Bengaluru,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-04 13:36:00,2025-03-04 16:06:36,2.51,16.14,BMW iX,Tuesday,13,False,17.6,198.36,Weekend User
SES000833,STA013,Bengaluru,DC CHAdeMO (50 kW),ChargeZone,2025-03-09 10:04:00,2025-03-09 10:36:24,0.54,21.63,Mahindra XUV400,Sunday,10,True,4.7,436.28,Daily Commuter
SES000834,STA020,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-03-15 07:42:00,2025-03-15 09:12:00,1.5,10.7,Tata Tigor EV,Saturday,7,True,10.8,137.49,Daily Commuter
SES000835,STA002,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-02-11 12:41:00,2025-02-11 13:54:12,1.22,6.93,Ola S1 Pro,Tuesday,12,False,3.0,86.69,Daily Commuter
SES000836,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-02-14 17:51:00,2025-02-14 20:25:12,2.57,18.24,Hyundai Kona Electric,Friday,17,False,14.0,252.81,Daily Commuter
SES000837,STA008,Bengaluru,DC CCS2 (50 kW),Ather Grid,2025-01-30 09:23:00,2025-01-30 09:51:12,0.47,21.7,MG ZS EV,Thursday,9,False,17.4,423.8,Daily Commuter
SES000838,STA046,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-01-07 10:39:00,2025-01-07 11:44:24,1.09,7.82,Ola S1 Pro,Tuesday,10,False,17.0,97.05,Daily Commuter
SES000839,STA021,Delhi,AC Type 2 (7.4 kW),Statiq,2025-03-30 19:19:00,2025-03-30 21:16:36,1.96,11.9,Tata Nexon EV,Sunday,19,True,17.5,164.93,Daily Commuter
SES000840,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-03-10 09:34:00,2025-03-10 10:11:48,0.63,13.05,Ola S1 Pro,Monday,9,False,13.6,206.32,Intercity Traveller
SES000841,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-03-21 19:09:00,2025-03-21 19:54:00,0.75,4.74,Tata Nexon EV,Friday,19,False,16.6,52.38,Daily Commuter
SES000842,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-26 15:16:00,2025-03-26 18:12:24,2.94,17.55,Ola S1 Pro,Wednesday,15,False,10.2,221.13,Daily Commuter
SES000843,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-03-31 17:03:00,2025-03-31 17:20:24,0.29,35.93,Tata Nexon EV,Monday,17,False,16.4,872.74,Daily Commuter
SES000844,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-26 10:54:00,2025-03-26 13:19:12,2.42,17.23,Tata Tigor EV,Wednesday,10,False,5.3,222.09,Weekend User
SES000845,STA031,Mumbai,AC Type 2 (7.4 kW),ChargeZone,2025-01-03 11:56:00,2025-01-03 13:38:00,1.7,10.39,Ather 450X,Friday,11,False,18.0,130.08,Weekend User
SES000846,STA045,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-03-07 23:06:00,2025-03-08 01:41:24,2.59,15.24,BYD Atto 3,Friday,23,False,1.1,196.44,Weekend User
SES000847,STA024,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-03-10 07:12:00,2025-03-10 08:04:12,0.87,18.67,BYD Atto 3,Monday,7,False,6.0,276.32,Intercity Traveller
SES000848,STA025,Delhi,AC Type 2 (22 kW),Ather Grid,2025-01-03 05:59:00,2025-01-03 07:04:24,1.09,21.95,Tata Tigor EV,Friday,5,False,9.5,347.03,Intercity Traveller
SES000849,STA017,Delhi,AC Type 2 (7.4 kW),BPCL EV Station,2025-01-21 01:43:00,2025-01-21 02:38:48,0.93,6.1,Ola S1 Pro,Tuesday,1,False,0.0,86.25,Daily Commuter
SES000850,STA030,Mumbai,DC CCS2 (150 kW),NTPC Vidyut,2025-03-06 11:03:00,2025-03-06 11:28:48,0.43,57.79,Mahindra XUV400,Thursday,11,False,14.6,1267.91,Weekend User
SES000851,STA011,Bengaluru,AC Type 2 (22 kW),Bolt.Earth,2025-01-04 21:17:00,2025-01-04 22:44:00,1.45,24.26,Tata Tigor EV,Saturday,21,True,19.3,352.5,Weekend User
SES000852,STA018,Delhi,AC Type 2 (22 kW),BPCL EV Station,2025-03-26 08:46:00,2025-03-26 09:34:00,0.8,16.34,BMW iX,Wednesday,8,False,9.5,264.54,Weekend User
SES000853,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-03-29 10:15:00,2025-03-29 12:42:36,2.46,14.12,Mahindra XUV400,Saturday,10,True,21.0,179.75,Weekend User
SES000854,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-03-19 12:34:00,2025-03-19 12:52:36,0.31,45.72,Hyundai Kona Electric,Wednesday,12,False,31.5,1116.48,Intercity Traveller
SES000855,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-03-29 19:55:00,2025-03-29 20:22:00,0.45,62.39,Kia EV6,Saturday,19,True,18.4,1523.56,Weekend User
SES000856,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-02-25 23:49:00,2025-02-26 00:17:48,0.48,66.5,BMW iX,Tuesday,23,False,15.0,1623.93,Weekend User
SES000857,STA047,Hyderabad,AC Type 2 (7.4 kW),ChargeZone,2025-02-10 07:34:00,2025-02-10 09:57:24,2.39,17.07,MG ZS EV,Monday,7,False,13.2,220.54,Daily Commuter
SES000858,STA016,Delhi,DC CHAdeMO (50 kW),Zeon Charging,2025-01-19 18:48:00,2025-01-19 19:12:36,0.41,17.14,Mahindra XUV400,Sunday,18,True,14.9,340.06,Weekend User
SES000859,STA040,Pune,AC Type 2 (22 kW),Statiq,2025-02-08 13:59:00,2025-02-08 14:49:24,0.84,18.38,Ola S1 Pro,Saturday,13,True,15.2,258.79,Daily Commuter
SES000860,STA002,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-01-25 07:11:00,2025-01-25 09:34:24,2.39,15.75,BMW iX,Saturday,7,True,12.9,197.03,Fleet Driver
SES000861,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-03-19 16:14:00,2025-03-19 17:41:00,1.45,27.88,Ather 450X,Wednesday,16,False,5.5,366.06,Fleet Driver
SES000862,STA023,Delhi,AC Type 2 (7.4 kW),ChargeZone,2025-02-15 06:49:00,2025-02-15 09:20:12,2.52,17.41,Kia EV6,Saturday,6,True,2.1,215.01,Fleet Driver
SES000863,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-02 18:23:00,2025-03-02 19:59:36,1.61,9.01,Mahindra XUV400,Sunday,18,True,10.4,113.53,Intercity Traveller
SES000864,STA002,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-01-18 09:14:00,2025-01-18 11:34:24,2.34,16.52,Tata Nexon EV,Saturday,9,True,12.2,206.67,Weekend User
SES000865,STA050,Hyderabad,DC CCS2 (50 kW),BPCL EV Station,2025-02-22 10:42:00,2025-02-22 11:15:36,0.56,27.77,Ather 450X,Saturday,10,True,11.0,487.64,Daily Commuter
SES000866,STA033,Mumbai,AC Type 2 (7.4 kW),NTPC Vidyut,2025-02-26 21:31:00,2025-02-26 23:53:12,2.37,16.94,BYD Atto 3,Wednesday,21,False,12.7,187.19,Weekend User
SES000867,STA029,Mumbai,AC Type 2 (22 kW),Tata Power EZ Charge,2025-02-24 13:02:00,2025-02-24 13:42:48,0.68,14.21,Mahindra XUV400,Monday,13,False,2.2,205.48,Fleet Driver
SES000868,STA027,Mumbai,AC Type 2 (7.4 kW),Bolt.Earth,2025-02-20 17:47:00,2025-02-20 18:50:00,1.05,7.51,Kia EV6,Thursday,17,False,18.5,95.6,Intercity Traveller
SES000869,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-01-05 14:28:00,2025-01-05 14:43:00,0.25,31.03,Tata Nexon EV,Sunday,14,True,14.5,753.72,Weekend User
SES000870,STA049,Hyderabad,DC CCS2 (150 kW),Zeon Charging,2025-02-01 14:25:00,2025-02-01 14:49:00,0.4,56.95,Tata Nexon EV,Saturday,14,True,9.0,1265.43,Intercity Traveller
SES000871,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-03-08 18:03:00,2025-03-08 19:21:36,1.31,8.78,BYD Atto 3,Saturday,18,True,24.1,110.63,Daily Commuter
SES000872,STA022,Delhi,DC CCS2 (150 kW),BPCL EV Station,2025-02-08 19:18:00,2025-02-08 19:46:12,0.47,53.09,Mahindra XUV400,Saturday,19,True,21.3,1289.56,Daily Commuter
SES000873,STA007,Bengaluru,DC CCS2 (150 kW),Bolt.Earth,2025-01-07 18:57:00,2025-01-07 19:21:00,0.4,45.78,BYD Atto 3,Tuesday,18,False,9.1,1117.95,Daily Commuter
SES000874,STA028,Mumbai,AC Type 2 (22 kW),NTPC Vidyut,2025-03-06 08:49:00,2025-03-06 09:37:36,0.81,14.94,Kia EV6,Thursday,8,False,19.0,196.16,Daily Commuter
SES000875,STA009,Bengaluru,AC Type 2 (7.4 kW),Tata Power EZ Charge,2025-02-22 11:01:00,2025-02-22 13:10:00,2.15,13.26,BMW iX,Saturday,11,True,8.9,167.08,Weekend User
